CA-T08-05,奈良—平安日本,Nara–Heian Japan,REQUIRED,VIS-CIV-CA-T08-05-SECONDARY.webp,奈良—平安经卷、假名早期书写或宫廷手稿；突出文化复制载体。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T08-06,阿拔斯哈里发,Abbasid Caliphate,REQUIRED,VIS-CIV-CA-T08-06-SECONDARY.webp,阿拔斯天文手稿、星盘与翻译/抄写工具；突出知识网络。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T09-01,宋中国,Song China,REQUIRED,VIS-CIV-CA-T09-01-SECONDARY.webp,宋代印刷、交子/纸币与商业账册；突出信息复制和市场密度。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T09-02,朱罗海洋体系,Chola Maritime System,REQUIRED,VIS-CIV-CA-T09-02-SECONDARY.webp,朱罗青铜造像、碑铭与海贸记录；突出寺庙网络和海洋联系。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T09-05,密西西比卡霍基亚,Mississippian Cahokia,REQUIRED,VIS-CIV-CA-T09-05-SECONDARY.webp,卡霍基亚贝壳雕刻、铜器与礼仪交换器物；突出区域网络载体。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T10-01,蒙古帝国,Mongol Empire,REQUIRED,VIS-CIV-CA-T10-01-SECONDARY.webp,蒙古牌符、驿站凭证与跨大陆通信载体；突出高速欧亚治理。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T10-02,元中国,Yuan China,REQUIRED,VIS-CIV-CA-T10-02-SECONDARY.webp,元代纸币、驿传牌符与行政文书；突出帝国网络化治理。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T10-06,马里帝国,Mali Empire,REQUIRED,VIS-CIV-CA-T10-06-SECONDARY.webp,马里黄金交易器、廷巴克图手稿或商旅账目；突出知识与撒哈拉贸易。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T11-01,明中国,Ming China,REQUIRED,VIS-CIV-CA-T11-01-SECONDARY.webp,明代瓷器、航海图/罗盘与官方文书；突出制造、海运和行政复制。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
CA-T11-02,马六甲苏丹国,Malacca Sultanate,REQUIRED,VIS-CIV-CA-T11-02-SECONDARY.webp,马六甲贸易钱币、港务计量器与海商记录；突出海峡交易治理。,4,继续 CASE_SECONDARY REQUIRED 第四批 10 张
